gid,name
338346f8-4dc2-38e8-a009-5a3e1585348f,Guadeloupe
43dd540a-78cd-319f-bab9-214b5430f3f2,Guam
01448ddc-6ee3-3fa4-b136-507d984e31ee,Guatemala
6a89d88d-cd53-3d32-b41e-f6c7ab14649b,Guernsey
a58af0f8-b238-3da2-a57b-4aa0ff4ab574,Guinea
4f01a1af-02ca-3b28-a64f-f38c36c08879,Guinea-Bissau
c4a33ce9-580e-3d57-9c32-f75daf2f75ef,Guyana
cf25d306-7da5-3878-a2b1-a0370f847308,Haiti
457accb6-fe97-307e-89a9-bad912a60e4e,Heard Island and McDonald Islands
0c3ea915-4e49-34fc-b702-debb216fd7fa,Honduras
0373cdff-eac8-3fbc-92dc-36a607da06d1,Hong Kong
312bc5bb-7e43-3e63-81c6-b4d712b37b2c,Hungary
48802a32-075a-3805-a183-277c66047693,Iceland
d31a9a15-537f-3669-ad53-25753ddd2772,India
d3a68bd0-7419-3f99-a5bd-204d6e057089,Indonesia
a63fbc7f-af00-33c7-8616-3e86df9fc16b,Iran
b0525ccb-15e9-3c56-81fa-471db3b31cfa,Iraq
390b05d4-11ec-3bce-a343-703a366b34a5,Ireland
e9857f2e-5db7-36a0-b4a9-c7c32d1b3172,Isle of Man
03691455-bb46-37e3-91d2-cb064a35ffcc,Israel
c6500277-9a3d-349b-bf30-41afdbf42add,Italy
2dd47a64-91d5-3b13-bc94-80043ed063d7,Jamaica
2db42837-c832-3c27-b4a3-08198f75693c,Japan
74c0ac9d-cda7-38be-a0c9-43611c5779dc,Jersey
2e40127e-0b8a-3a01-bfbc-58c7fcdba532,Jordan
92d52542-3363-351c-a8b6-d991e0bccb8f,Kazakhstan
023da4a0-acee-3fb1-b91e-5de74ccf787b,Kenya
2b425457-0a4f-3282-9d2f-0a0e0f7db2e5,Kiribati
f03f2625-dc7d-38b2-a058-4e9ca0e10424,Kuwait
188b4a6b-a4d8-3864-ba46-8446c7b658b4,Kyrgyzstan
c81cb1f4-0858-3f28-9082-c06e2ce24bea,Laos
66eb3e73-d69e-3581-9a23-a73b4c64c8dd,Latvia
8138206e-5786-3f86-a53b-19a7303e7419,Lebanon
c5011696-e744-3946-a2c1-e3fe7e6dde37,Lesotho
d66e68e6-6410-3d34-a8aa-9242045ed593,Liberia
1509aaae-8271-30cb-89c1-d8660cf73975,Libya
d2007481-eefe-37c0-be71-2256dfe148cb,Liechtenstein
0785dc14-96af-3dc4-bde4-dcdfc2e2d0d6,Lithuania
563d21b7-4a8e-35e2-83a7-7804baefbfa7,Luxembourg
ed4e8ad9-2b33-3133-b105-28bb719d6ce8,Macao
fa75cdb9-cbc4-35de-8bf4-a21e7b811484,Macedonia
f3a30678-3d23-3f42-8056-d32ebe58c66d,Madagascar
b4d3ff41-ead2-300f-9c11-f73f8ad39678,Malawi
305d19c7-c040-349c-8d5f-6ac75d2d2a09,Malaysia
a195ee41-7f39-3a60-83ca-4a6f91cd4d2e,Maldives
c35e6d5e-9011-32e5-a23f-9e7639b7350c,Mali
050c94f7-1413-3a34-bb90-4a94f3bb2084,Malta
bf8c2e6f-2401-3a52-aad2-7e8baa8b447e,Marshall Islands
b939dcaa-4729-34e0-a398-d22fba4407cd,Martinique
657e69c5-cda0-3592-9d39-85b55610bc40,Mauritania
bb019165-42ef-3470-bcb8-36d1b45e4bc1,Mauritius
00ff2645-3ec9-36d6-9ea9-757363641c83,Mayotte
3e08b2cd-69f3-317c-b1e4-e71be581839e,Mexico
560ddb6d-4304-3938-8407-c96605226fad,Moldova
6f26d528-4467-3ecb-b105-10daf3466b40,Monaco
84360c54-1763-3146-ae38-a439c72fd4ea,Mongolia
6f8faf25-44cb-313b-9162-77145cdc192d,Montenegro
290ea438-1cb6-35e1-9755-6ab123214293,Montserrat
b84d8617-249a-3a06-849d-fc5c25e2249b,Morocco
325ce9a0-d58f-3564-b24e-647b33098767,Mozambique
fb1fb575-39ee-34d8-a744-6a880700fd73,Myanmar
cd4fadac-d701-3401-8516-420de2cb4e5c,Namibia
7784f515-5886-3831-9b33-a7f665795d7f,Nauru
8815c87e-cf3f-362c-a5c6-05ce853a4c79,Nepal
ef1b7cc0-cd26-36f4-8ea0-04d9623786c7,Netherlands
c741c28e-cbec-3977-88c8-583a8af62522,Netherlands Antilles
404fc992-ba17-39ac-a283-20f0b7cbbb60,New Caledonia
8524c7d9-f472-3890-a458-f28d5081d9c4,New Zealand
d2b87acd-06ce-3c71-b3ff-a35d914bbabe,Nicaragua
f27e792b-ddd2-3a70-bdd4-41fb11534b57,Niger
1e23d84b-202e-3fc8-8c49-debc71e9eb16,Nigeria
7fc2feb2-0d33-31ef-b496-b812a4dd2965,Niue
a2b3b8cb-79e8-3c26-8a2a-3ccc7dd80cda,Norfolk Island
445e806f-2e04-3f9a-89eb-ef5c4e97b365,North Korea
9a84fea2-1c1f-3908-a44a-6fa2b6fa7b26,Northern Mariana Islands
6743d351-6f37-3049-9724-5041161fff4d,Norway
7ccdff29-2e00-3e50-9520-b9ea1e918bc2,Oman
7c87112d-504d-31f1-8147-11ff45fc3bfd,Pakistan
9d800529-1ef8-39bb-9e42-1fa74f2eac97,Palau
7d24dd34-a00f-37a1-8307-f2ef1dd3dbcd,Palestine
6f85633b-dff4-3fb4-babd-fb89b3628041,Panama
